module,platform
platform/android/java/res/values-vi,Android
platform/android/java/res/values-zh,Android
platform/android/java/res/values-zh-rCN,Android
platform/android/java/res/values-zh-rHK,Android
platform/android/java/res/values-zh-rTW,Android
platform/android/java/src/com/android/godot,Android
platform/android/java/src/com/android/godot/input,Android
platform/android/java/src/com/android/godot/payments,Android
platform/android/java/src/com/android/godot/utils,Android
platform/android/java/src/com/android/vending/billing,Android
platform/android/java/src/com/android/vending/licensing,Android
platform/android/java/src/com/android/vending/licensing/util,Android
platform/android/java/src/com/google/android/vending/expansion/downloader,Android
platform/android/java/src/com/google/android/vending/expansion/downloader/impl,Android
platform/android/java/src/org/godotengine/godot,Android
platform/android/java/src/org/godotengine/godot/input,Android
platform/android/java/src/org/godotengine/godot/payments,Android
platform/android/java/src/org/godotengine/godot/utils,Android
platform/android/libs/apk_expansion,Android
platform/android/libs/apk_expansion/res/layout,Android
platform/android/libs/apk_expansion/res/values,Android
platform/android/libs/apk_expansion/res/values-v11,Android
platform/android/libs/apk_expansion/res/values-v9,Android
platform/android/libs/apk_expansion/src/com/google/android/vending/expansion/downloader,Android
platform/android/libs/apk_expansion/src/com/google/android/vending/expansion/downloader/impl,Android
platform/android/libs/downloader_library,Android
platform/android/libs/downloader_library/gen/com/android/vending/expansion/downloader,Android
platform/android/libs/downloader_library/res/layout,Android
platform/android/libs/downloader_library/res/values,Android
platform/android/libs/downloader_library/res/values-v11,Android
platform/android/libs/downloader_library/res/values-v9,Android
platform/android/libs/downloader_library/.settings,Android
platform/android/libs/downloader_library/src/com/google/android/vending/expansion/downloader,Android
platform/android/libs/downloader_library/src/com/google/android/vending/expansion/downloader/impl,Android
platform/android/libs/google_play_services,Android
platform/android/libs/google_play_services/libs,Android
platform/android/libs/google_play_services/res/color,Android
platform/android/libs/google_play_services/res/drawable,Android
platform/android/libs/google_play_services/res/values,Android
platform/android/libs/google_play_services/res/values-af,Android
platform/android/libs/google_play_services/res/values-am,Android
platform/android/libs/google_play_services/res/values-ar,Android
platform/android/libs/google_play_services/res/values-be,Android
platform/android/libs/google_play_services/res/values-bg,Android
platform/android/libs/google_play_services/res/values-ca,Android
platform/android/libs/google_play_services/res/values-cs,Android
platform/android/libs/google_play_services/res/values-da,Android
platform/android/libs/google_play_services/res/values-de,Android
platform/android/libs/google_play_services/res/values-el,Android
platform/android/libs/google_play_services/res/values-en-rGB,Android
platform/android/libs/google_play_services/res/values-en-rIN,Android
platform/android/libs/google_play_services/res/values-es,Android
platform/android/libs/google_play_services/res/values-es-rUS,Android
platform/android/libs/google_play_services/res/values-et-rEE,Android
platform/android/libs/google_play_services/res/values-fa,Android
platform/android/libs/google_play_services/res/values-fi,Android
platform/android/libs/google_play_services/res/values-fr,Android
platform/android/libs/google_play_services/res/values-fr-rCA,Android
platform/android/libs/google_play_services/res/values-hi,Android
platform/android/libs/google_play_services/res/values-hr,Android
platform/android/libs/google_play_services/res/values-hu,Android
platform/android/libs/google_play_services/res/values-hy-rAM,Android
platform/android/libs/google_play_services/res/values-in,Android
platform/android/libs/google_play_services/res/values-it,Android
platform/android/libs/google_play_services/res/values-iw,Android
platform/android/libs/google_play_services/res/values-ja,Android
platform/android/libs/google_play_services/res/values-ka-rGE,Android
platform/android/libs/google_play_services/res/values-km-rKH,Android
platform/android/libs/google_play_services/res/values-ko,Android
