module,platform
src,Independente Windows
src/android,Android
src/iphone,iPhone
src/linux,Linux
src/macosx,macOS
src/misc,Independente
src/opengl,Independente
src/sdl,Independente
src/unix,Independente
src/win,Windows
src/x,Linux
